Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
180.0,Jikkyou Powerful Pro Yakyuu 2012,2012,Misc,Konami Digital Entertainment,0.0,0.0,0.09,0.0,0.09
181.0,Exist Archive: The Other Side of the Sky,2015,Role-Playing,Aksys Games,0.02,0.0,0.06,0.01,0.09
182.0,Grand Kingdom,2015,Role-Playing,NIS America,0.02,0.01,0.05,0.01,0.09
183.0,Criminal Girls 2,2015,Role-Playing,NIS America,0.03,0.01,0.03,0.01,0.09
184.0,Yoru no Nai Kuni,2015,Role-Playing,Tecmo Koei,0.0,0.0,0.08,0.0,0.08
185.0,BlazBlue Chronophantasma,2014,Misc,Arc System Works,0.04,0.0,0.03,0.01,0.08
186.0,The Legend of Heroes: Trails in the Sky First Chapter,2015,Role-Playing,Kadokawa Shoten,0.0,0.0,0.08,0.0,0.08
187.0,Mato Kurenai Yuugekitai : Tokyo Twilight Ghosthunters,2014,Misc,Aksys Games,0.04,0.01,0.02,0.01,0.08
188.0,Gekijouban Madoka Magicka: The Battle Pentagram,2013,Misc,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
189.0,Root Letter,2016,Adventure,PQube,0.0,0.04,0.03,0.01,0.08
190.0,IA/VT Colorful,2015,Misc,Marvelous Entertainment,0.0,0.0,0.08,0.0,0.08
191.0,Genkai Totsuki Moero Chronicle,2014,Misc,Compile Heart,0.0,0.0,0.08,0.0,0.08
192.0,Accel World vs. Sword Art Online: Millennium Twilight,2017,Action,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
193.0,Disney Infinity 2.0: Marvel Super Heroes,2015,Action-Adventure,Disney Interactive Studios,0.0,0.06,0.0,0.02,0.08
194.0,Child of Light,2014,Role-Playing,Ubisoft,0.0,0.05,0.02,0.01,0.08
195.0,AKB1/149: Love Election,2012,Misc,Namco Bandai Games,0.0,0.0,0.07,0.0,0.07
196.0,PhotoKano,2013,Misc,Kadokawa Shoten,0.0,0.0,0.07,0.0,0.07
197.0,Warriors Orochi 3,2013,Misc,Tecmo Koei,0.0,0.0,0.07,0.0,0.07
198.0,Soccer Tsuku: Pro Soccer Club o Tsukurou!,2013,Misc,Sega,0.0,0.0,0.07,0.0,0.07
199.0,Hyperdimension Neptunia Victory,2014,Role-Playing,Compile Heart,0.0,0.0,0.07,0.0,0.07
200.0,Chaos;Child,2015,Adventure,PQube,0.0,0.0,0.07,0.0,0.07
201.0,Caligula,2016,Role-Playing,FuRyu,0.0,0.0,0.07,0.0,0.07
